Horas_Jogadas,Avaliacao_Usuarios,Jogadores_Online,Popularidade,Genero_Jogo,Preco_Jogo,Avaliacao_Critica,Vendas_Totais
42.75,1.07,10705,73.57,Aventura,26.49,7.47,129004.0
41.68,9.73,33315,82.21,Estratégia,85.73,5.36,71102.0
90.83,4.89,19472,6.02,Ação,87.21,8.31,112733.0
71.67,9.72,30178,41.85,Aventura,35.2,8.55,70096.0
61.16,2.26,24282,28.35,Aventura,60.41,6.75,70113.0
31.62,6.29,24869,33.61,Aventura,49.59,7.41,69061.0
82.53,2.81,41433,38.31,Ação,22.78,6.28,113541.0
95.52,8.11,22847,61.7,Ação,94.64,5.83,181376.0
82.27,8.05,17243,49.65,Estratégia,10.89,6.01,-2825.0
1.15,2.01,36057,79.69,Ação,26.89,6.1,30300.0
63.98,9.21,9880,28.66,RPG,41.1,9.07,198395.0
6.06,2.75,11211,45.61,Simulação,87.07,6.85,144047.0
26.5,6.52,29501,67.68,Aventura,80.97,5.77,189289.0
6.89,9.87,38605,31.93,Estratégia,62.19,6.61,172278.0
60.76,8.94,36304,39.42,Estratégia,72.55,7.93,95055.0
68.95,9.61,12006,57.26,Estratégia,40.69,9.08,84135.0
12.33,4.08,31589,71.53,Estratégia,,7.75,1224.0
38.99,1.95,34392,35.39,Aventura,12.42,6.92,57204.0
46.15,2.7,29402,44.83,Estratégia,19.09,9.48,156666.0
37.53,5.5,11977,80.82,Aventura,93.29,6.64,1457.0
12.98,8.14,13587,5.09,Estratégia,95.05,6.55,105194.0
42.46,2.35,7878,38.04,Estratégia,54.15,5.28,63343.0
75.34,6.94,49106,53.28,Simulação,61.88,6.07,48073.0
8.03,3.91,14601,2.32,RPG,91.22,5.27,82006.0
8.94,4.07,26241,50.1,Ação,86.8,5.05,28766.0
36.11,6.96,44908,6.2,Ação,87.57,6.84,66043.0
94.2,5.2,21380,71.27,Ação,43.46,6.24,2873.0
67.17,8.31,27570,67.18,RPG,84.74,8.72,15847.0
68.17,2.4,32512,4.26,Aventura,16.25,7.41,172886.0
36.82,8.11,36464,5.6,Ação,53.83,7.97,126840.0
59.75,1.58,21690,62.83,Ação,31.37,7.65,172817.0
2.0,2.75,22798,31.65,Ação,13.23,5.38,63288.0
63.95,6.91,42480,48.33,Aventura,65.55,6.66,9787.0
91.39,8.69,31798,23.59,RPG,16.86,7.58,180441.0
61.63,3.27,21819,15.69,RPG,20.82,4.42,23825.0
87.47,3.94,11063,25.68,Aventura,17.37,4.38,102498.0
72.65,5.83,25403,21.67,Simulação,97.74,7.23,106851.0
12.93,2.9,4812,38.04,Estratégia,13.54,6.6,157222.0
90.32,8.3,34682,62.27,Aventura,34.28,1.88,117399.0
7.58,7.96,24828,46.64,Estratégia,68.68,4.34,58306.0
53.85,2.31,5904,51.11,RPG,175.91,5.53,89687.0
15.07,5.17,20614,39.81,Estratégia,64.74,7.69,87612.0
2.16,7.97,11665,28.01,Ação,97.88,6.23,162438.0
42.77,4.04,14969,13.29,Estratégia,40.4,8.64,74693.0
30.2,6.7,48778,30.43,Estratégia,52.48,5.9,63496.0
49.1,1.45,41538,55.65,RPG,83.91,6.15,148221.0
58.13,6.48,6137,61.22,Simulação,71.35,10.0,106032.0
5.33,2.37,15074,39.74,Estratégia,29.27,8.2,-2620.0
13.17,8.48,42059,54.01,RPG,54.88,8.5,162398.0
56.29,4.2,21419,18.74,Ação,97.83,5.88,44731.0
34.96,3.53,7445,71.48,Estratégia,87.66,6.61,160344.0
73.17,8.57,38612,71.95,Estratégia,27.27,7.0,131873.0
65.56,1.45,22927,27.65,Ação,26.19,6.63,20925.0
84.69,4.57,31004,46.11,Aventura,84.55,7.2,18487.0
69.54,4.33,37797,50.9,Simulação,27.91,7.19,58322.0
43.55,3.56,31995,40.0,Ação,50.75,6.68,104936.0
67.6,9.21,1262,75.62,Ação,26.27,6.59,146949.0
28.25,7.76,10129,61.71,Ação,11.33,8.98,7193.0
31.32,1.58,37980,56.25,Aventura,88.78,5.7,153265.0
79.09,7.43,25845,43.87,Ação,,6.29,147495.0
45.18,5.75,33842,8.53,Aventura,52.35,4.86,193219.0
80.02,9.11,38881,10.4,Simulação,24.37,5.62,21435.0
82.4,3.82,3923,25.92,Aventura,82.57,6.26,66203.0
85.87,6.17,44415,18.82,Simulação,42.35,7.12,5875.0
91.72,5.51,4890,78.99,Simulação,69.57,8.18,179158.0
43.65,5.41,1179,34.92,Simulação,38.51,8.21,78542.0
32.56,5.1,8428,72.82,RPG,48.91,8.93,146230.0
58.62,2.85,5497,68.07,Simulação,58.19,5.51,170764.0
37.73,7.8,34039,67.62,Aventura,78.58,5.71,182618.0
60.49,5.06,11049,19.16,RPG,,5.37,118116.0
70.83,9.63,19041,37.96,Ação,49.92,9.56,78489.0
69.13,3.35,36303,27.46,Ação,30.98,7.77,2602.0
38.07,7.14,49709,80.44,Estratégia,23.84,8.25,131957.0
17.51,9.47,46116,72.83,Simulação,40.67,5.28,153698.0
43.61,6.97,22368,21.93,Estratégia,82.15,6.95,190364.0
15.11,8.84,21747,27.1,Simulação,34.66,7.77,185003.0
89.09,8.45,44084,44.59,Simulação,14.29,4.88,193130.0
35.23,4.24,12355,24.26,Aventura,60.78,6.24,187795.0
16.29,6.4,26082,68.59,Aventura,13.03,7.6,149553.0
3.52,2.41,19790,68.16,Ação,89.64,3.79,112132.0
64.92,5.82,35971,60.46,RPG,71.02,9.13,138598.0
64.03,3.07,6661,57.61,Ação,,7.93,126305.0
34.71,7.69,34923,46.08,Simulação,52.22,5.29,20605.0
8.1,5.75,5163,29.83,RPG,76.52,6.89,70600.0
41.54,4.7,16505,69.6,Estratégia,92.4,7.66,187729.0
31.8,3.42,28005,71.38,Simulação,88.69,7.15,169263.0
68.01,9.99,25984,5.66,Aventura,16.27,6.87,192002.0
60.95,1.65,4480,34.01,Ação,17.31,6.79,193669.0
37.08,1.39,29622,3.8,Ação,63.79,8.09,135190.0
22.56,2.96,36131,69.81,Estratégia,54.68,8.15,163218.0
98.79,9.74,28174,16.02,Ação,36.37,7.98,36176.0
45.93,9.81,11162,56.36,Ação,97.85,7.99,176966.0
69.12,6.89,36216,30.66,RPG,77.16,7.66,32812.0
14.91,8.92,12933,67.9,Simulação,71.85,7.82,130521.0
49.06,2.93,32172,43.03,RPG,26.33,9.41,33081.0
3.73,9.75,32192,27.98,RPG,35.56,6.8,124006.0
51.02,2.29,8603,27.94,Ação,64.45,4.48,63438.0
96.41,1.91,38821,28.19,Simulação,81.6,8.77,112807.0
39.02,2.01,4519,65.67,Ação,93.79,7.62,92710.0
4.86,6.16,5804,59.38,Ação,72.79,7.73,133568.0
4.06,8.03,46160,27.56,RPG,47.68,5.69,42966.0
39.4,4.3,19761,41.44,Aventura,72.19,4.53,6403.0
16.84,9.8,8852,7.82,Aventura,16.23,7.37,150802.0
3.31,4.91,7746,68.83,RPG,64.01,6.58,83722.0
75.84,2.35,23775,23.24,RPG,90.51,6.93,97199.0
46.38,5.19,49187,73.85,Ação,67.32,6.19,-872.0
29.63,7.11,7250,50.1,Simulação,10.69,7.04,149044.0
90.08,8.49,49198,47.75,Ação,72.5,5.98,63938.0
12.49,5.13,8138,14.85,Ação,75.38,9.15,14787.0
95.61,6.34,43287,7.29,Estratégia,58.71,6.68,33628.0
32.07,3.41,12802,46.51,Ação,83.44,8.22,173920.0
88.93,6.81,14419,39.64,Simulação,28.21,7.65,32489.0
60.67,9.87,26307,11.36,Ação,46.81,8.86,14256.0
82.82,1.44,37737,69.49,RPG,82.68,7.22,90258.0
98.39,8.98,46131,35.52,Simulação,64.33,8.3,7216.0
29.54,6.06,38721,22.79,RPG,99.48,8.01,104236.0
96.12,3.27,5004,65.65,Estratégia,16.24,9.22,44683.0
39.55,9.59,3334,75.78,Estratégia,31.99,8.0,102365.0
39.15,5.35,27151,26.48,Simulação,27.93,5.83,5654.0
34.69,3.99,45230,64.65,Aventura,97.87,6.69,175945.0
54.58,2.63,5377,54.62,Aventura,88.23,5.18,91399.0
16.26,3.2,30460,82.01,Simulação,258.89,6.51,1744.0
55.8,8.5,34455,18.2,Simulação,41.85,4.95,8116.0
54.61,6.53,21274,79.65,RPG,14.74,8.06,68021.0
76.41,9.22,18354,27.24,Estratégia,66.93,4.34,94218.0
83.51,3.09,3035,35.09,Simulação,39.81,5.4,4108.0
44.59,2.09,40845,30.78,Ação,33.19,7.43,120973.0
30.92,1.05,22647,23.44,RPG,,8.13,132935.0
26.67,5.57,26345,57.93,Estratégia,81.59,4.03,140561.0
20.26,9.98,48417,49.48,RPG,46.35,7.51,109605.0
6.71,7.25,1647,26.46,Estratégia,78.17,7.9,14106.0
34.89,3.78,32777,12.38,Ação,50.15,4.5,173017.0
27.75,8.89,5123,27.41,Estratégia,29.31,4.34,141993.0
96.65,8.04,9114,32.6,RPG,50.16,6.98,51234.0
56.2,1.14,10273,32.55,Estratégia,58.42,7.64,37655.0
35.37,8.35,40206,30.65,RPG,51.54,6.28,71254.0
58.45,3.7,26214,5.6,Simulação,34.69,7.26,96728.0
14.78,2.35,46287,39.32,Ação,26.67,6.97,89160.0
44.95,3.04,11294,69.54,RPG,95.22,9.88,96865.0
62.98,5.22,24483,16.29,Aventura,36.78,3.69,196632.0
49.39,4.82,42062,13.47,Aventura,73.48,6.27,45922.0
40.76,3.6,39356,39.95,Estratégia,40.67,6.39,137245.0
99.36,2.55,29495,31.73,Simulação,97.26,4.46,5868.0
88.12,7.86,30477,47.22,Simulação,98.94,7.48,181916.0
62.7,9.91,1870,78.54,Aventura,84.25,6.14,107676.0
57.35,8.0,48372,63.42,Estratégia,62.33,5.66,139470.0
62.43,3.66,39684,57.43,Simulação,58.79,5.13,76743.0
20.92,3.2,9215,35.41,Simulação,39.61,7.1,85346.0
40.11,2.96,23741,24.97,Estratégia,20.99,7.67,177981.0
4.91,2.23,2905,45.51,RPG,17.12,6.7,40163.0
48.06,5.96,36346,73.54,Aventura,51.89,8.29,143267.0
54.74,6.45,48493,72.83,Simulação,98.08,7.51,67447.0
23.54,7.35,37879,37.82,RPG,32.22,9.6,153799.0
96.41,7.12,22000,21.63,RPG,46.99,5.37,19838.0
91.01,3.63,19321,19.94,RPG,67.72,4.89,-951.0
72.47,3.97,34385,4.4,RPG,41.6,7.84,150756.0
53.79,7.13,22443,70.06,Ação,10.34,6.56,97764.0
87.1,4.15,11644,23.14,Ação,45.66,5.01,169764.0
13.93,2.91,12778,30.79,Estratégia,82.41,5.52,115555.0
79.24,4.37,25864,67.35,Aventura,94.95,8.05,9235.0
13.35,3.45,32105,11.39,Estratégia,34.76,8.34,20106.0
79.6,1.79,12512,39.09,Ação,111.89,8.09,190772.0
28.29,8.47,35693,11.57,Estratégia,88.04,7.1,62155.0
87.81,8.68,14404,37.52,Estratégia,46.61,6.63,11140.0
94.43,2.98,7457,5.47,RPG,10.43,6.69,177309.0
15.73,1.58,41374,43.67,Simulação,86.03,7.33,105222.0
46.79,7.65,41922,66.25,Ação,35.81,7.21,37401.0
98.09,2.9,3775,56.56,Ação,78.02,5.53,68809.0
48.84,4.54,44052,42.98,Estratégia,61.43,8.44,91836.0
86.47,1.58,28379,68.94,Simulação,29.96,7.03,134637.0
59.27,3.04,10778,20.14,Estratégia,68.34,3.73,86666.0
38.15,8.14,33061,69.1,Aventura,78.83,5.13,142885.0
29.28,8.24,30407,24.08,Ação,52.7,6.35,195283.0
21.11,2.86,1145,31.07,RPG,77.31,7.27,121918.0
76.4,4.02,26700,12.07,RPG,46.45,6.97,38918.0
39.26,2.21,18085,9.9,RPG,98.21,5.94,143538.0
51.6,1.67,46171,77.33,Ação,31.59,8.76,6661.0
49.73,9.93,23704,17.07,Ação,80.0,8.06,19613.0
58.13,6.9,34040,28.7,RPG,77.46,6.91,176498.0
86.67,5.88,42024,44.61,Ação,57.65,4.68,145027.0
98.06,7.89,2009,29.89,RPG,41.53,6.51,10607.0
41.34,8.56,28421,72.29,Aventura,50.12,6.41,17491.0
82.9,8.26,47485,74.78,Aventura,66.65,4.51,130591.0
76.67,1.15,44234,28.11,Aventura,57.73,7.72,49470.0
57.76,2.68,11176,9.11,Estratégia,78.53,7.23,-2802.0
95.62,6.89,31882,18.7,Estratégia,42.46,5.54,32178.0
20.84,4.38,8205,40.16,Simulação,19.66,7.32,75874.0
11.81,9.84,37494,25.06,Simulação,55.5,8.39,160996.0
85.52,6.99,29991,38.46,Simulação,33.32,7.71,93388.0
44.46,9.61,28333,63.25,Aventura,65.5,6.11,110590.0
84.82,2.81,45696,35.8,Aventura,56.83,10.0,130469.0
89.39,8.78,23985,17.64,Aventura,80.08,7.6,44686.0
7.18,3.89,30737,30.71,Ação,,6.05,41271.0
88.44,9.91,41687,61.97,Ação,48.77,9.34,12098.0
45.37,2.42,21895,36.07,Aventura,20.79,4.34,177179.0
51.52,5.65,16741,21.9,RPG,20.82,5.26,104168.0
63.01,8.14,30919,36.35,Simulação,67.63,6.24,133351.0
92.68,4.89,21706,38.57,Estratégia,89.26,8.38,10298.0
2.89,5.21,31154,25.71,Simulação,47.33,5.99,76387.0
48.19,9.88,48385,82.49,RPG,57.77,6.78,-1223.0
69.06,4.83,39242,63.97,Ação,,5.62,2674.0
72.53,6.44,8208,57.87,Aventura,52.96,7.98,121423.0
69.54,1.49,24258,71.06,Ação,15.37,7.65,119291.0
14.31,8.58,25309,55.75,Ação,63.02,4.84,51600.0
30.63,6.83,5718,65.87,RPG,22.35,6.89,171693.0
36.5,4.64,36390,35.14,Ação,60.02,7.33,147035.0
80.62,1.15,19922,42.27,Ação,79.78,6.68,154670.0
28.59,6.33,38873,5.46,Simulação,10.5,6.86,38927.0
21.85,1.11,43930,24.43,Simulação,48.74,5.95,193642.0
95.76,1.01,24466,31.52,RPG,77.11,8.17,45996.0
1.88,6.54,39087,52.43,Aventura,57.57,5.84,39009.0
99.75,2.7,14589,39.33,Simulação,31.18,8.34,23749.0
67.99,2.73,2197,51.0,Ação,72.78,6.96,95543.0
82.99,6.88,26085,59.56,Estratégia,80.51,6.24,110165.0
30.16,1.48,23440,5.11,Simulação,42.63,6.87,64436.0
2.42,3.82,21011,22.61,Estratégia,36.77,7.08,106932.0
74.03,2.34,41638,15.52,Aventura,59.06,6.46,1948.0
83.56,6.22,36589,16.86,Ação,42.89,6.41,2748.0
74.28,6.96,22145,42.49,Simulação,85.23,5.5,17974.0
15.14,7.49,14698,61.73,Aventura,80.11,9.06,19259.0
75.57,3.3,8566,23.79,RPG,38.07,5.78,73217.0
77.1,1.8,4639,68.59,Aventura,51.13,5.18,37362.0
66.18,1.71,35643,74.11,RPG,90.05,7.59,143639.0
76.82,4.84,18792,30.1,RPG,23.27,4.2,168399.0
84.72,9.51,29161,56.97,Simulação,77.88,7.0,165146.0
61.73,2.96,6516,11.14,Estratégia,38.52,5.34,154588.0
9.77,3.31,35347,62.06,RPG,20.76,7.6,126989.0
49.26,1.91,22765,15.04,Ação,20.54,6.68,84050.0
8.68,6.45,13570,57.46,Simulação,34.87,5.66,151600.0
41.33,7.12,29005,35.9,RPG,,6.71,111017.0
41.29,6.79,6313,77.03,Simulação,91.7,7.6,108318.0
7.53,8.75,42598,39.35,Ação,37.27,6.3,111304.0
35.52,5.38,39317,4.15,Simulação,27.94,6.42,78995.0
11.99,2.21,18193,40.67,Simulação,53.08,8.31,56418.0
80.99,3.6,21910,66.23,RPG,219.56,7.57,81215.0
94.79,6.96,2417,54.18,Aventura,34.46,6.27,158225.0
8.16,6.52,41278,80.1,Simulação,98.79,7.08,140044.0
95.53,5.78,48652,70.11,RPG,60.22,6.49,47387.0
52.72,7.15,19835,44.4,Ação,80.55,8.47,36499.0
30.65,6.74,16408,18.41,Ação,29.07,4.47,62724.0
8.61,8.93,30338,1.95,Aventura,56.81,7.76,38105.0
50.55,6.27,30423,81.26,Ação,55.95,7.66,55411.0
79.63,8.01,37266,77.83,RPG,83.13,5.89,85967.0
70.98,3.24,12782,23.9,Aventura,11.95,5.64,59380.0
5.97,7.1,40873,53.46,RPG,87.44,8.65,41380.0
8.22,9.12,13223,60.85,Aventura,,6.65,38015.0
40.87,4.47,22118,48.57,Aventura,92.49,9.06,36580.0
30.22,8.01,40792,70.09,RPG,22.86,5.48,197108.0
24.0,7.52,41265,7.96,Aventura,57.9,6.83,163980.0
28.81,1.54,15424,74.44,RPG,18.95,6.13,136838.0
80.52,6.23,42476,33.47,Ação,50.25,6.34,41030.0
92.97,2.17,22485,40.67,Ação,36.94,7.46,101082.0
41.09,9.71,41102,37.75,Simulação,47.81,5.86,106679.0
90.68,8.3,6418,44.78,Estratégia,59.05,6.7,14083.0
32.82,1.99,16253,50.21,Estratégia,51.35,5.85,39521.0
48.15,2.1,28076,59.32,Ação,12.09,7.84,186788.0
23.37,6.35,47542,44.27,Simulação,87.7,9.77,136609.0
64.39,4.1,13166,57.24,Estratégia,18.55,8.85,8428.0
97.89,1.31,3470,29.11,RPG,98.25,5.55,144049.0
60.73,5.87,44657,77.7,RPG,86.61,6.27,160224.0
36.41,4.49,3029,6.88,Aventura,60.52,6.88,93486.0
65.11,1.91,24557,45.94,Estratégia,32.07,3.98,137509.0
13.17,8.22,12946,8.74,RPG,17.77,6.88,157984.0
88.95,9.24,1317,37.59,Estratégia,70.46,7.66,141222.0
50.79,7.81,15135,22.56,Aventura,28.14,6.94,109867.0
45.47,8.4,37759,77.72,Ação,75.99,6.82,10704.0
58.98,2.95,34300,2.7,Simulação,84.92,6.0,15084.0
62.83,3.37,25270,33.41,Aventura,99.0,6.45,164929.0
8.1,2.88,44364,65.14,Aventura,55.38,6.26,162605.0
68.56,7.89,5759,16.94,Aventura,97.71,5.44,63199.0
24.94,9.53,41642,67.87,Simulação,23.45,8.31,104765.0
71.66,7.45,49268,71.45,RPG,85.26,9.26,2152.0
82.41,8.93,30969,59.13,Estratégia,42.38,6.06,119936.0
80.57,6.75,26797,18.62,Ação,42.84,5.48,94541.0
55.68,4.49,29800,23.73,Ação,34.18,5.86,111439.0
52.48,4.83,43728,15.2,Simulação,25.61,5.53,97108.0
15.14,1.68,34837,16.59,Ação,49.8,6.27,128296.0
77.74,1.28,32463,4.6,Simulação,98.85,7.35,94241.0
27.86,7.26,34497,71.25,Simulação,39.7,8.71,129838.0
50.16,4.95,17629,44.55,Estratégia,51.5,4.64,139952.0
29.13,5.97,27363,28.25,Estratégia,30.57,8.34,-4373.0
14.24,6.02,1713,25.15,Simulação,40.34,6.96,89221.0
63.31,3.5,12087,45.87,Estratégia,14.97,3.85,2385.0
6.38,5.28,28728,28.17,RPG,96.03,5.12,152873.0
75.09,5.24,8926,71.77,Aventura,55.88,7.7,51785.0
32.43,4.5,16551,18.77,Ação,75.96,5.71,85722.0
1.01,8.39,9464,73.28,Ação,56.2,6.39,112887.0
51.59,5.06,43759,55.56,Ação,79.31,6.77,182709.0
5.64,6.43,3562,79.32,Ação,58.07,8.69,130717.0
28.33,9.06,22525,2.87,RPG,73.13,5.1,177469.0
70.97,8.8,20946,6.44,RPG,71.63,7.9,181343.0
7.2,9.01,3179,42.31,Aventura,58.02,8.82,185956.0
84.07,3.43,21100,75.73,Simulação,30.76,5.53,2902.0
1.38,1.31,36848,60.98,Estratégia,29.07,8.1,171038.0
25.43,3.35,28477,52.16,Aventura,88.68,6.19,115162.0
74.33,3.51,43738,4.21,Ação,20.87,5.95,7088.0
32.3,9.18,33449,30.4,Estratégia,60.33,6.48,155459.0
11.08,6.84,22418,29.72,Aventura,55.23,7.29,108686.0
36.65,1.74,15122,45.66,Ação,81.85,5.87,114862.0
27.76,2.22,3950,22.58,Aventura,22.19,8.3,120183.0
84.4,2.4,3522,23.33,Ação,71.85,6.32,2688.0
32.01,6.67,8271,52.05,Ação,,3.99,90488.0
79.08,7.62,27963,78.34,RPG,73.1,6.86,447629.0
89.27,8.74,14338,55.25,Ação,65.91,5.09,32442.0
43.93,9.47,46200,55.89,Aventura,60.63,6.58,78082.0
91.06,2.82,15022,81.72,Estratégia,93.36,7.5,31951.0
38.34,3.79,28282,14.1,RPG,41.38,6.0,133870.0
96.41,3.16,44480,4.39,Estratégia,26.63,4.45,86809.0
9.84,4.23,17748,62.18,Simulação,81.58,5.49,72921.0
68.99,9.23,3258,37.27,Estratégia,21.68,8.86,184221.0
49.87,6.18,41122,36.46,Simulação,71.17,7.24,101865.0
39.37,7.64,28714,19.93,Simulação,,8.21,67159.0
63.62,5.41,13838,42.8,RPG,10.13,9.39,11236.0
70.66,1.26,26713,37.54,Estratégia,31.59,9.97,177973.0
1.43,1.58,5360,29.69,Ação,54.63,7.27,46964.0
17.52,5.84,12341,37.59,RPG,39.68,6.55,113796.0
71.57,7.47,33041,32.81,RPG,48.42,6.05,134372.0
66.95,2.94,22247,77.96,Ação,64.11,7.11,-5553.0
96.61,7.5,48253,81.24,Estratégia,75.77,7.63,27042.0
76.32,8.3,18261,69.84,RPG,23.62,7.99,140680.0
95.1,4.71,8131,82.06,Simulação,35.47,5.48,178634.0
70.53,7.72,49791,23.22,Ação,67.28,5.5,115669.0
30.5,4.64,43114,70.09,Aventura,62.96,6.61,479174.0
11.43,7.11,41575,34.66,RPG,76.31,6.96,97459.0
78.38,7.88,42590,62.23,Simulação,67.64,9.32,11193.0
64.75,9.93,12213,17.99,Estratégia,39.72,3.52,148042.0
5.77,4.11,31199,67.57,Estratégia,54.93,6.07,55147.0
36.63,4.7,16630,8.42,Ação,89.62,8.19,170439.0
95.69,2.49,27302,23.61,Simulação,26.75,5.5,49032.0
50.52,2.84,46710,68.38,Ação,43.91,6.93,39644.0
43.83,7.24,48094,62.31,RPG,85.75,8.36,46007.0
46.3,9.25,18514,42.34,Ação,42.78,7.93,168893.0
21.67,4.55,21947,56.27,Aventura,47.1,7.96,195501.0
37.49,2.62,42725,16.71,Ação,38.73,6.66,46665.0
37.6,3.57,34789,55.86,Ação,90.95,7.14,77568.0
6.18,5.1,22410,2.29,RPG,69.7,7.2,100065.0
76.97,3.62,49410,69.3,Simulação,28.8,6.18,93046.0
42.22,3.1,21313,43.56,Aventura,77.46,8.18,12497.0
82.37,7.62,36611,78.28,Ação,13.48,5.05,91407.0
85.16,1.07,12141,40.47,RPG,45.68,5.99,9360.0
21.98,5.85,39247,36.81,RPG,91.87,8.19,195080.0
66.06,8.14,42636,38.18,RPG,72.08,4.08,1332.0
47.74,3.4,18612,30.85,Simulação,81.37,7.17,40660.0
88.11,6.43,29954,15.17,Ação,93.81,8.57,87582.0
22.35,7.02,14570,70.02,Estratégia,79.7,5.84,86655.0
68.08,6.9,25901,33.23,Aventura,17.98,7.56,34758.0
61.15,5.01,44800,44.6,Estratégia,30.76,7.14,79485.0
30.23,4.12,13004,3.25,Simulação,55.0,7.92,57623.0
14.52,8.52,8531,6.53,Ação,,6.98,184867.0
65.49,7.83,19071,50.13,Estratégia,66.21,8.64,192581.0
74.1,3.89,49480,73.03,Estratégia,69.15,7.5,106791.0
32.24,1.93,4714,41.7,Estratégia,72.68,8.22,99990.0
64.82,1.65,40828,15.04,Aventura,60.01,8.14,42280.0
40.11,1.85,20330,11.07,Ação,50.72,8.94,25694.0
71.59,6.25,18713,74.7,RPG,86.99,5.55,141446.0
20.72,1.46,6908,58.61,Ação,79.05,5.15,126631.0
89.1,4.03,30109,80.1,Estratégia,65.11,8.48,54542.0
29.44,7.78,18815,8.33,Ação,,7.2,53193.0
37.4,3.65,10155,74.93,RPG,72.45,9.7,23311.0
6.75,7.87,47215,70.31,Aventura,60.23,3.76,159818.0
12.04,7.71,32681,74.17,Ação,72.41,6.86,75023.0
52.05,3.21,30590,2.11,Ação,,6.93,175374.0
27.48,7.56,49098,61.88,Aventura,79.92,8.27,10348.0
83.69,7.73,24772,46.21,Aventura,47.62,9.81,103338.0
2.45,4.58,19854,48.18,Estratégia,90.49,6.97,-1155.0
38.52,2.89,48424,39.74,Estratégia,19.37,7.57,102463.0
34.39,5.69,20614,61.95,Aventura,53.61,4.35,197488.0
2.91,9.29,31909,82.83,RPG,28.52,7.38,95289.0
13.31,6.76,31173,59.34,Estratégia,50.81,7.39,154150.0
41.94,2.56,16450,56.7,RPG,41.84,6.13,4374.0
49.78,7.14,4968,54.78,Aventura,82.3,7.4,6724.0
41.01,4.84,42878,58.09,Ação,25.05,7.32,186056.0
53.55,6.32,22403,29.42,Aventura,63.88,9.32,36703.0
59.9,7.61,22541,27.64,Aventura,46.59,5.85,112701.0
1.98,5.63,35020,65.33,Simulação,56.63,5.67,52341.0
46.93,8.33,5690,5.95,Aventura,74.29,5.72,137409.0
96.36,7.5,21459,63.29,Estratégia,42.14,6.32,194469.0
52.37,6.54,37557,67.72,Ação,43.04,4.63,19967.0
68.06,2.36,42901,43.99,RPG,16.92,6.58,28527.0
31.87,8.52,32381,75.54,Simulação,59.67,7.01,27325.0
77.6,9.42,11472,40.05,Estratégia,47.52,9.15,165069.0
77.5,2.23,39428,16.1,Ação,83.1,6.78,70622.0
52.59,5.39,10195,30.99,RPG,49.53,8.81,157314.0
97.6,3.33,35982,75.2,Ação,97.36,8.17,100176.0
13.43,7.79,40637,82.33,Estratégia,25.47,7.16,173843.0
2.68,7.49,40733,35.89,Ação,34.04,6.75,51220.0
77.22,2.27,23079,15.19,Aventura,45.27,7.74,839.0
80.88,8.89,45099,24.89,Ação,25.34,7.9,121499.0
12.9,2.63,37761,46.57,Aventura,97.5,6.19,110821.0
27.28,8.18,10297,48.09,Estratégia,67.68,7.82,156937.0
2.74,5.11,15737,52.8,Simulação,,6.83,174760.0
30.03,3.95,48013,69.47,Aventura,62.06,7.76,91741.0
77.52,2.42,46187,59.39,Ação,80.31,9.36,7333.0
52.26,2.51,4034,22.82,Ação,14.63,6.43,49686.0
35.45,6.96,44775,33.72,Ação,62.01,4.06,184381.0
37.79,5.95,37673,69.83,Estratégia,43.69,6.88,86295.0
1.13,2.1,46021,53.07,RPG,62.33,5.39,182436.0
30.67,2.01,30899,15.15,Ação,32.74,7.34,19810.0
64.98,1.65,26838,28.07,Ação,69.94,5.49,177418.0
97.42,7.69,37440,65.88,Aventura,70.42,6.8,101582.0
84.83,7.41,22280,15.61,Simulação,58.55,9.34,126574.0
3.34,1.53,22904,57.75,Ação,93.13,9.64,103697.0
89.93,6.04,37093,47.4,Estratégia,91.84,7.49,-2405.0
78.51,1.76,8122,13.61,RPG,14.29,5.64,124874.0
78.23,9.13,8861,57.58,RPG,36.09,8.24,56686.0
46.33,9.16,33869,13.2,RPG,42.79,6.28,79289.0
40.39,7.28,31613,33.99,Estratégia,14.98,4.78,26625.0
30.98,9.34,37426,26.7,RPG,57.13,9.81,28635.0
7.5,8.3,46479,57.67,RPG,12.22,6.94,11287.0
23.59,8.46,7788,65.17,Aventura,71.02,7.76,20805.0
25.41,6.13,34463,15.31,RPG,10.25,6.49,-3416.0
48.91,3.75,22187,67.57,Aventura,12.88,7.74,24187.0
74.97,2.96,41979,2.23,Aventura,85.03,5.75,-3071.0
47.89,3.94,32192,44.68,Aventura,32.74,6.79,146209.0
6.72,6.66,4711,43.6,Estratégia,17.32,8.3,114904.0
95.79,2.55,20156,52.29,Ação,45.95,6.7,23296.0
94.3,3.33,21861,21.1,Simulação,14.59,5.73,142750.0
78.71,5.21,48613,2.44,RPG,77.53,8.31,39952.0
99.11,3.1,5211,38.57,Simulação,,6.43,156517.0
54.89,6.3,24381,7.44,Ação,59.67,6.4,63604.0
96.29,9.31,15848,74.09,Aventura,77.77,5.31,-2025.0
8.48,7.73,19005,15.74,Aventura,80.6,9.22,174746.0
37.19,7.0,26428,36.17,Aventura,22.27,8.51,104282.0
23.31,6.24,43858,36.88,Aventura,35.23,6.59,148851.0
20.38,5.39,26553,46.53,RPG,25.82,5.69,-5328.0
14.94,2.68,19902,65.18,Ação,14.87,7.95,112336.0
